Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
111,111 - PANIHATI (West Bengal),13,13,8,BISWANATH DEY,Independent,66,6,72,0.04
111,111 - PANIHATI (West Bengal),13,13,9,SHEKH IMANUR RAHMAN,Independent,174,2,176,0.1
111,111 - PANIHATI (West Bengal),13,13,10,SANJIB KUMAR GHOSH,Independent,371,0,371,0.21
111,111 - PANIHATI (West Bengal),13,13,11,SADHANA CHAKRABORTY,Independent,560,3,563,0.32
111,111 - PANIHATI (West Bengal),13,13,12,NOTA,None of the Above,1030,15,1045,0.6
112,112 - KAMARHATI (West Bengal),11,11,1,ARUP CHOUDHURY (PULAK),Bharatiya Janata Party,58661,510,59171,39.91
112,112 - KAMARHATI (West Bengal),11,11,2,KALLOL MUKHERJEE,Indian National Congress,1335,10,1345,0.91
112,112 - KAMARHATI (West Bengal),11,11,3,MADAN MITRA,All India Trinamool Congress,64494,323,64817,43.71
112,112 - KAMARHATI (West Bengal),11,11,4,MANASH MUKHERJEE,Communist Party of India (Marxist),19986,217,20203,13.63
112,112 - KAMARHATI (West Bengal),11,11,5,SAIFUDDIN MONDAL,Aam Janata Unnayan party,140,0,140,0.09
112,112 - KAMARHATI (West Bengal),11,11,6,PINTU KARAR,Independent,114,0,114,0.08
112,112 - KAMARHATI (West Bengal),11,11,7,BIRJU SHAW,Independent,68,3,71,0.05
112,112 - KAMARHATI (West Bengal),11,11,8,SHEKH IMANUR RAHMAN,Independent,134,1,135,0.09
112,112 - KAMARHATI (West Bengal),11,11,9,SATYABRATA BANDYOPADHYAY,Independent,275,1,276,0.19
112,112 - KAMARHATI (West Bengal),11,11,10,SANDIP DUTTA BHOWMICK,Independent,651,2,653,0.44
112,112 - KAMARHATI (West Bengal),11,11,11,HIRAK SINHA,Independent,200,2,202,0.14
