Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
128,128 - BASANTI (West Bengal),19,19,6,SAMAR BISWAS,Revolutionary Socialist Party,2082,17,2099,0.91
128,128 - BASANTI (West Bengal),19,19,7,ASIM SARDAR,Independent,600,5,605,0.26
128,128 - BASANTI (West Bengal),19,19,8,GOURI NASKAR,Independent,1272,5,1277,0.55
128,128 - BASANTI (West Bengal),19,19,9,NOTA,None of the Above,1396,6,1402,0.6
129,129 - KULTALI (West Bengal),19,19,1,GANESH CHANDRA MONDAL,All India Trinamool Congress,145900,535,146435,57.75
129,129 - KULTALI (West Bengal),19,19,2,MADHABI MAHALDER,Bharatiya Janata Party,86838,321,87159,34.38
129,129 - KULTALI (West Bengal),19,19,3,RAMSANKAR HALDER,Communist Party of India (Marxist),13328,33,13361,5.27
129,129 - KULTALI (West Bengal),19,19,4,RUPA HALDAR,Indian National Congress,329,2,331,0.13
129,129 - KULTALI (West Bengal),19,19,5,SANKAR DEB MONDAL,Bahujan Samaj Party,251,1,252,0.1
129,129 - KULTALI (West Bengal),19,19,6,BHUTNATH SARDAR,Bahujan Mukti Party,199,4,203,0.08
129,129 - KULTALI (West Bengal),19,19,7,SHANKAR NASKAR,Socialist Unity Centre Of India (COMMUNIST),3238,15,3253,1.28
129,129 - KULTALI (West Bengal),19,19,8,MADHABI BISWAS,Independent,404,1,405,0.16
129,129 - KULTALI (West Bengal),19,19,9,SANKAR NASKAR,Independent,682,0,682,0.27
129,129 - KULTALI (West Bengal),19,19,10,NOTA,None of the Above,1467,3,1470,0.58
130,130 - PATHARPRATIMA (West Bengal),23,23,1,ASIT KUMAR HALDAR,Bharatiya Janata Party,111662,629,112291,45.64
130,130 - PATHARPRATIMA (West Bengal),23,23,2,BECHARAM DAS,Bahujan Samaj Party,758,3,761,0.31
130,130 - PATHARPRATIMA (West Bengal),23,23,3,SHUBHRANGSHU NAYEK,Indian National Congress,1755,20,1775,0.72
130,130 - PATHARPRATIMA (West Bengal),23,23,4,SATYARANJAN DAS,Communist Party of India (Marxist),11418,73,11491,4.67
130,130 - PATHARPRATIMA (West Bengal),23,23,5,SAMIR KUMAR JANA,All India Trinamool Congress,116564,600,117164,47.62
130,130 - PATHARPRATIMA (West Bengal),23,23,6,NARAYAN HALDAR,Socialist Unity Centre Of India (COMMUNIST),1112,7,1119,0.45
130,130 - PATHARPRATIMA (West Bengal),23,23,7,PULAK NAYEK,Independent,414,0,414,0.17
130,130 - PATHARPRATIMA (West Bengal),23,23,8,NOTA,None of the Above,1036,8,1044,0.42
131,131 - KAKDWIP (West Bengal),22,22,1,DIPANKAR JANA,Bharatiya Janata Party,108774,599,109373,47.29
131,131 - KAKDWIP (West Bengal),22,22,2,NARAYAN DAS,Communist Party of India (Marxist),12074,55,12129,5.24
131,131 - KAKDWIP (West Bengal),22,22,3,NASIR UDDIN AHAMED,Indian National Congress,1248,8,1256,0.54
131,131 - KAKDWIP (West Bengal),22,22,4,PARBATI BHUNIA,Bahujan Samaj Party,470,3,473,0.2
131,131 - KAKDWIP (West Bengal),22,22,5,MANTURAM PAKHIRA,All India Trinamool Congress,104005,608,104613,45.23
131,131 - KAKDWIP (West Bengal),22,22,6,JHANTU MAITI,Socialist Unity Centre Of India (COMMUNIST),609,1,610,0.26
131,131 - KAKDWIP (West Bengal),22,22,7,BIMALENDU SHEE,Jan Sangh Party,241,4,245,0.11
131,131 - KAKDWIP (West Bengal),22,22,8,HASIBUL ISLAM MIR,Aam Janata Unnayan party,551,0,551,0.24
131,131 - KAKDWIP (West Bengal),22,22,9,DIPANKAR JANA,Independent,270,1,271,0.12
131,131 - KAKDWIP (West Bengal),22,22,10,FAYJUDDIN LASKAR,Independent,182,3,185,0.08
131,131 - KAKDWIP (West Bengal),22,22,11,SOUVIK GHOSH,Independent,429,3,432,0.19
131,131 - KAKDWIP (West Bengal),22,22,12,NOTA,None of the Above,1149,16,1165,0.5
132,132 - SAGAR (West Bengal),22,22,1,ANUKUL PATRA,Bahujan Samaj Party,552,1,553,0.21
132,132 - SAGAR (West Bengal),22,22,2,PRASANTA KHUTIA,Indian National Congress,826,5,831,0.32
132,132 - SAGAR (West Bengal),22,22,3,BANKIM CHANDRA HAZRA,All India Trinamool Congress,119148,773,119921,46.46
132,132 - SAGAR (West Bengal),22,22,4,SUMANTA MANDAL,Bharatiya Janata Party,126801,1001,127802,49.52
132,132 - SAGAR (West Bengal),22,22,5,SWAPAN SINGHA,Communist Party of India (Marxist),7582,48,7630,2.96
132,132 - SAGAR (West Bengal),22,22,6,ANUPAM PANI,Socialist Unity Centre Of India (COMMUNIST),585,1,586,0.23
132,132 - SAGAR (West Bengal),22,22,7,KANAI MANDAL,Jan Sangh Party,182,2,184,0.07
132,132 - SAGAR (West Bengal),22,22,8,NOTA,None of the Above,596,4,600,0.23
133,133 - KULPI (West Bengal),19,19,1,ABANI NASKAR,Bharatiya Janata Party,80297,586,80883,38.94
133,133 - KULPI (West Bengal),19,19,2,KUTUB UDDIN MOLLA,Indian National Congress,1487,10,1497,0.72
133,133 - KULPI (West Bengal),19,19,3,BARNALI DHARA,All India Trinamool Congress,90858,408,91266,43.94
133,133 - KULPI (West Bengal),19,19,4,MOSHARAF MANDAL,Bahujan Samaj Party,717,2,719,0.35
133,133 - KULPI (West Bengal),19,19,5,ABDUL MALEQUE MOLLA,All India Secular Front,30001,51,30052,14.47
133,133 - KULPI (West Bengal),19,19,6,JAMUNA TANTI,Socialist Unity Centre Of India (COMMUNIST),446,1,447,0.22
133,133 - KULPI (West Bengal),19,19,7,SABINA KHATUN,Aam Janata Unnayan party,273,2,275,0.13
133,133 - KULPI (West Bengal),19,19,8,ABANIMOHAN ROY,Independent,830,4,834,0.4
133,133 - KULPI (West Bengal),19,19,9,BARNALI MONDAL,Independent,351,4,355,0.17
133,133 - KULPI (West Bengal),19,19,10,NOTA,None of the Above,1370,8,1378,0.66
134,134 - RAIDIGHI (West Bengal),23,23,1,ASISH KUMAR MANDAL,Indian National Congress,1078,11,1089,0.42
134,134 - RAIDIGHI (West Bengal),23,23,2,TAPAS MONDAL S/O-SHIBPRASAD MONDAL,All India Trinamool Congress,118308,683,118991,46.16
134,134 - RAIDIGHI (West Bengal),23,23,3,PALASH RANA,Bharatiya Janata Party,112420,614,113034,43.85
134,134 - RAIDIGHI (West Bengal),23,23,4,SAMYA GANGULY,Communist Party of India (Marxist),19075,85,19160,7.43
134,134 - RAIDIGHI (West Bengal),23,23,5,SUJATA SARKAR,Bahujan Samaj Party,368,2,370,0.14
134,134 - RAIDIGHI (West Bengal),23,23,6,GUNASINDHU HALDAR,Socialist Unity Centre Of India (COMMUNIST),1204,12,1216,0.47
134,134 - RAIDIGHI (West Bengal),23,23,7,MD MASUD BILLAH MOLLA,Aam Janata Unnayan party,105,1,106,0.04
134,134 - RAIDIGHI (West Bengal),23,23,8,TAPAS MONDAL S/O-ASHOK MONDAL,Independent,123,1,124,0.05
134,134 - RAIDIGHI (West Bengal),23,23,9,TAPAS MANDAL        S/O-DIBAKAR MANDAL,Independent,117,3,120,0.05
134,134 - RAIDIGHI (West Bengal),23,23,10,PALASH SARDAR,Independent,240,2,242,0.09
134,134 - RAIDIGHI (West Bengal),23,23,11,PALASH HALDER,Independent,518,3,521,0.2
134,134 - RAIDIGHI (West Bengal),23,23,12,BABLU HALDAR,Independent,702,1,703,0.27
134,134 - RAIDIGHI (West Bengal),23,23,13,RAFIK BAIDYA,Independent,945,0,945,0.37
134,134 - RAIDIGHI (West Bengal),23,23,14,NOTA,None of the Above,1144,8,1152,0.45
135,135 - MANDIRBAZAR (West Bengal),22,22,1,CHAND SARADER,Indian National Congress,1153,6,1159,0.54
135,135 - MANDIRBAZAR (West Bengal),22,22,2,JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,All India Trinamool Congress,93197,489,93686,43.94
135,135 - MANDIRBAZAR (West Bengal),22,22,3,MALLIKA PAIK W/O - ASHOK PAIK,Bharatiya Janata Party,91079,612,91691,43
135,135 - MANDIRBAZAR (West Bengal),22,22,4,SHIBANI MANDAL,Bahujan Samaj Party,586,1,587,0.28
135,135 - MANDIRBAZAR (West Bengal),22,22,5,ANANYA NASKAR,Mulnibasi Party of India,355,4,359,0.17
135,135 - MANDIRBAZAR (West Bengal),22,22,6,ASHOKE KUMAR GAYEN,All India Secular Front,21891,52,21943,10.29
135,135 - MANDIRBAZAR (West Bengal),22,22,7,SISIR KUMAR MONDAL,Socialist Unity Centre Of India (COMMUNIST),783,10,793,0.37
135,135 - MANDIRBAZAR (West Bengal),22,22,8,SUBRATA NASKAR,Aam Janata Unnayan party,150,2,152,0.07
135,135 - MANDIRBAZAR (West Bengal),22,22,9,JAYDEB HALDER S/O - SANATAN HALDER,Independent,279,7,286,0.13
135,135 - MANDIRBAZAR (West Bengal),22,22,10,MALLIKA PAIK W/O - SUSHEN PAIK,Independent,669,2,671,0.31
135,135 - MANDIRBAZAR (West Bengal),22,22,11,MALLIKA MONDAL,Independent,864,2,866,0.41
135,135 - MANDIRBAZAR (West Bengal),22,22,12,NOTA,None of the Above,1026,10,1036,0.49
136,136 - JAYNAGAR (West Bengal),18,18,1,APURBA PRAMANIK (APU),Communist Party of India (Marxist),18095,56,18151,8.28
136,136 - JAYNAGAR (West Bengal),18,18,2,ALOKE HALDER,Bharatiya Janata Party,81254,590,81844,37.35
136,136 - JAYNAGAR (West Bengal),18,18,3,TAPAS KUMAR BAIDYA,Indian National Congress,1630,14,1644,0.75
136,136 - JAYNAGAR (West Bengal),18,18,4,BISWANATH DAS,All India Trinamool Congress,107742,452,108194,49.38
136,136 - JAYNAGAR (West Bengal),18,18,5,SANKAR DEB MONDAL,Bahujan Samaj Party,628,1,629,0.29
136,136 - JAYNAGAR (West Bengal),18,18,6,NIRANJAN NASKAR,Socialist Unity Centre Of India (COMMUNIST),2789,29,2818,1.29
136,136 - JAYNAGAR (West Bengal),18,18,7,RUPA SARDER,Mulnibasi Party of India,224,2,226,0.1
136,136 - JAYNAGAR (West Bengal),18,18,8,SANJIB MONDAL,Aam Janata Unnayan party,215,1,216,0.1
136,136 - JAYNAGAR (West Bengal),18,18,9,DINESH DAS,Independent,599,2,601,0.27
136,136 - JAYNAGAR (West Bengal),18,18,10,PIJUSH MONDAL,Independent,383,0,383,0.17
136,136 - JAYNAGAR (West Bengal),18,18,11,BIDHAN CHANDRA MALIK,Independent,2408,3,2411,1.1
136,136 - JAYNAGAR (West Bengal),18,18,12,RAM KUMAR,Independent,324,0,324,0.15
136,136 - JAYNAGAR (West Bengal),18,18,13,SUBHASISH HALDER,Independent,762,1,763,0.35
136,136 - JAYNAGAR (West Bengal),18,18,14,NOTA,None of the Above,895,8,903,0.41
137,137 - BARUIPUR PURBA (West Bengal),18,18,1,TUMPA SARDAR,Bharatiya Janata Party,88687,485,89172,37.57
137,137 - BARUIPUR PURBA (West Bengal),18,18,2,DEBANSHU PURKAIT,Bahujan Samaj Party,556,3,559,0.24
137,137 - BARUIPUR PURBA (West Bengal),18,18,3,PROTAP CHANDRA MONDAL,Indian National Congress,965,6,971,0.41
137,137 - BARUIPUR PURBA (West Bengal),18,18,4,BIVAS SARDAR,All India Trinamool Congress,120528,459,120987,50.98
137,137 - BARUIPUR PURBA (West Bengal),18,18,5,SWAPAN NASKAR,Communist Party of India (Marxist),19558,91,19649,8.28
137,137 - BARUIPUR PURBA (West Bengal),18,18,6,JOYDEEP GAYEN,Aam Janata Unnayan party,300,2,302,0.13
137,137 - BARUIPUR PURBA (West Bengal),18,18,7,JOYDEV NASKAR,Socialist Unity Centre Of India (COMMUNIST),874,11,885,0.37
137,137 - BARUIPUR PURBA (West Bengal),18,18,8,TUMPA SARDAR,Independent,735,3,738,0.31
137,137 - BARUIPUR PURBA (West Bengal),18,18,9,BAPI BAGANI,Independent,1690,0,1690,0.71
137,137 - BARUIPUR PURBA (West Bengal),18,18,10,SHAMBHU SARDAR,Independent,266,0,266,0.11
137,137 - BARUIPUR PURBA (West Bengal),18,18,11,SNEHASIS SAHA,Independent,417,0,417,0.18
137,137 - BARUIPUR PURBA (West Bengal),18,18,12,NOTA,None of the Above,1666,17,1683,0.71
138,138 - CANNING PASCHIM (West Bengal),23,23,1,PARESH RAM DAS,All India Trinamool Congress,120029,519,120548,52.26
138,138 - CANNING PASCHIM (West Bengal),23,23,2,Prasanta Bayen,Bharatiya Janata Party,79458,425,79883,34.63
138,138 - CANNING PASCHIM (West Bengal),23,23,3,HARAN CHANDRA MISTRY,Indian National Congress,1046,12,1058,0.46
138,138 - CANNING PASCHIM (West Bengal),23,23,4,PRABIR MONDAL,All India Secular Front,23883,25,23908,10.36
138,138 - CANNING PASCHIM (West Bengal),23,23,5,Ramprasad Mistry,Socialist Unity Centre Of India (COMMUNIST),977,5,982,0.43
138,138 - CANNING PASCHIM (West Bengal),23,23,6,DILIP SANFUI,Independent,470,0,470,0.2
138,138 - CANNING PASCHIM (West Bengal),23,23,7,PRASANTA DAS,Independent,307,1,308,0.13
138,138 - CANNING PASCHIM (West Bengal),23,23,8,MILAN DAS,Independent,1159,2,1161,0.5
138,138 - CANNING PASCHIM (West Bengal),23,23,9,NOTA,None of the Above,2364,4,2368,1.03
139,139 - CANNING PURBA (West Bengal),22,22,1,ASHIM SANPUI,Bharatiya Janata Party,28480,113,28593,11.83
139,139 - CANNING PURBA (West Bengal),22,22,2,MD BAHARUL ISLAM,All India Trinamool Congress,148207,480,148687,61.53
139,139 - CANNING PURBA (West Bengal),22,22,3,SABIR ALI SARDAR,Indian National Congress,1394,3,1397,0.58
139,139 - CANNING PURBA (West Bengal),22,22,4,ARABUL ISLAM,All India Secular Front,56668,65,56733,23.48
139,139 - CANNING PURBA (West Bengal),22,22,5,ISARAFIL MOLYA,Aam Janata Unnayan party,1011,3,1014,0.42
139,139 - CANNING PURBA (West Bengal),22,22,6,SUJIT NASKAR,Socialist Unity Centre Of India (COMMUNIST),1062,1,1063,0.44
139,139 - CANNING PURBA (West Bengal),22,22,7,BIKASH DAS,Independent,497,2,499,0.21
139,139 - CANNING PURBA (West Bengal),22,22,8,SIRAJ ALI MOLLA,Independent,2054,0,2054,0.85
139,139 - CANNING PURBA (West Bengal),22,22,9,NOTA,None of the Above,1618,6,1624,0.67
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,1,AMULYA KUMAR SARDAR,Bahujan Samaj Party,705,5,710,0.32
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,2,ASIT LAL NAG,Indian National Congress,1375,22,1397,0.63
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,3,BIMAN BANERJEE,All India Trinamool Congress,103909,872,104781,47.41
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,4,BISWAJIT PAUL,Bharatiya Janata Party,85841,1078,86919,39.32
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,5,MD LAHEK ALI,Communist Party of India (Marxist),23224,255,23479,10.62
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,6,PRODYUT CHAKRABORTY,Socialist Unity Centre Of India (COMMUNIST),363,6,369,0.17
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,7,MD. SOHIDUL LASKAR,Aam Janata Unnayan party,282,0,282,0.13
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,8,KRISHNENDU PRAMANIK,Independent,508,3,511,0.23
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,9,TILAK MONDAL,Independent,1231,6,1237,0.56
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,10,SUBRATA DAS,Independent,230,6,236,0.11
140,140 - BARUIPUR PASCHIM (West Bengal),18,18,11,NOTA,None of the Above,1088,22,1110,0.5
141,141 - MAGRAHAT PURBA (West Bengal),21,21,1,ATANU HALDER,Indian National Congress,4707,26,4733,2.13
141,141 - MAGRAHAT PURBA (West Bengal),21,21,2,UTTAM KUMAR BANIK,Bharatiya Janata Party,76307,498,76805,34.57
141,141 - MAGRAHAT PURBA (West Bengal),21,21,3,GOBINDA KUMAR SARDAR,Bahujan Samaj Party,676,2,678,0.31
141,141 - MAGRAHAT PURBA (West Bengal),21,21,4,CHANDAN SAHA,Communist Party of India (Marxist),29060,128,29188,13.14
141,141 - MAGRAHAT PURBA (West Bengal),21,21,5,SARMISTHA PURKAIT,All India Trinamool Congress,107933,479,108412,48.8
141,141 - MAGRAHAT PURBA (West Bengal),21,21,6,SOMNATH NASKAR,Socialist Unity Centre Of India (COMMUNIST),736,1,737,0.33
141,141 - MAGRAHAT PURBA (West Bengal),21,21,7,BHASKAR CHANDRA NASKAR,Independent,340,0,340,0.15
141,141 - MAGRAHAT PURBA (West Bengal),21,21,8,SOUMENDRA NATH SARDAR,Independent,427,0,427,0.19
141,141 - MAGRAHAT PURBA (West Bengal),21,21,9,NOTA,None of the Above,853,5,858,0.39
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,1,ABDUL MAJID HALDER,Indian National Congress,1277,6,1283,0.62
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,2,GOURSUNDAR GHOSH,Bharatiya Janata Party,55053,278,55331,26.94
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,3,MD. SAMIM AHAMED MOLLA,All India Trinamool Congress,113263,571,113834,55.43
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,4,MD. ABU SIDDIK LASKAR,Aam Janata Unnayan party,930,1,931,0.45
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,5,ABDUL AZIZ AL HASSAN,All India Secular Front,28678,36,28714,13.98
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,6,GORA JAMADAR,Socialist Unity Centre Of India (COMMUNIST),282,4,286,0.14
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,7,AMIR HOSSAIN SARDER,Independent,345,0,345,0.17
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,8,UJJAL RAY,Independent,162,1,163,0.08
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,9,GOUTAM HALDAR,Independent,359,1,360,0.18
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,10,PARTHA PULAY,Independent,873,3,876,0.43
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,11,BISWAJIT PRAMANIK,Independent,1506,1,1507,0.73
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,12,SAJJAT MIR,Independent,601,1,602,0.29
142,142 - MAGRAHAT PASCHIM (West Bengal),19,19,13,NOTA,None of the Above,1124,6,1130,0.55
143,143 - DIAMOND HARBOUR (West Bengal),24,24,1,GOUTAM BHATTACHARYA,Indian National Congress,1750,6,1756,0.76
143,143 - DIAMOND HARBOUR (West Bengal),24,24,2,DIPAK KUMAR HALDER,Bharatiya Janata Party,87455,599,88054,37.92
143,143 - DIAMOND HARBOUR (West Bengal),24,24,3,PANNA LAL HALDER,All India Trinamool Congress,118678,642,119320,51.38
143,143 - DIAMOND HARBOUR (West Bengal),24,24,4,BIKASH CHANDRA MONDAL,Bahujan Samaj Party,1099,4,1103,0.47
143,143 - DIAMOND HARBOUR (West Bengal),24,24,5,SAMAR NAIYA,Communist Party of India (Marxist),17507,87,17594,7.58
143,143 - DIAMOND HARBOUR (West Bengal),24,24,6,YEAMIN LASKAR,Aam Janata Unnayan party,373,0,373,0.16
143,143 - DIAMOND HARBOUR (West Bengal),24,24,7,GOUTAM KUMAR HALDER,Independent,311,1,312,0.13
143,143 - DIAMOND HARBOUR (West Bengal),24,24,8,DIPAK HALDER,Independent,398,5,403,0.17
143,143 - DIAMOND HARBOUR (West Bengal),24,24,9,PANNALAL HALDER,Independent,1399,11,1410,0.61
143,143 - DIAMOND HARBOUR (West Bengal),24,24,10,HUMAYUN SHAH,Independent,533,1,534,0.23
143,143 - DIAMOND HARBOUR (West Bengal),24,24,11,NOTA,None of the Above,1368,11,1379,0.59
144,144 - FALTA (West Bengal),0,0,1,ABDUR RAZZAK MOLLA,Indian National Congress,0,0,0,0
144,144 - FALTA (West Bengal),0,0,2,JAHANGIR KHAN,All India Trinamool Congress,0,0,0,0
144,144 - FALTA (West Bengal),0,0,3,DEBANGSHU PANDA,Bharatiya Janata Party,0,0,0,0
144,144 - FALTA (West Bengal),0,0,4,SAMBHU NATH KURMI,Communist Party of India (Marxist),0,0,0,0
144,144 - FALTA (West Bengal),0,0,5,CHANDRAKANTA ROY,Independent,0,0,0,0
144,144 - FALTA (West Bengal),0,0,6,DIP HATI,Independent,0,0,0,0
144,144 - FALTA (West Bengal),0,0,7,NOTA,None of the Above,0,0,0,0
145,145 - SATGACHHIA (West Bengal),18,18,1,AGNISWAR NASKAR,Bharatiya Janata Party,110412,611,111023,46.38
145,145 - SATGACHHIA (West Bengal),18,18,2,GOUTAM PAL,Communist Party of India (Marxist),11638,98,11736,4.9
145,145 - SATGACHHIA (West Bengal),18,18,3,PRABHASH CHANDRA GHOSH,Indian National Congress,1566,11,1577,0.66
145,145 - SATGACHHIA (West Bengal),18,18,4,SOMASHREE BETAL,All India Trinamool Congress,110028,594,110622,46.21
145,145 - SATGACHHIA (West Bengal),18,18,5,UTTAM PAL,Socialist Unity Centre Of India (COMMUNIST),1001,1,1002,0.42
145,145 - SATGACHHIA (West Bengal),18,18,6,PALASH KR MONDAL,Independent,1089,2,1091,0.46
145,145 - SATGACHHIA (West Bengal),18,18,7,SANJOY PRAMANICK,Independent,288,1,289,0.12
145,145 - SATGACHHIA (West Bengal),18,18,8,SANJIT GHORUI,Independent,375,1,376,0.16
145,145 - SATGACHHIA (West Bengal),18,18,9,NOTA,None of the Above,1643,11,1654,0.69
146,146 - BISHNUPUR (West Bengal),24,24,1,ABHIJIT SARDAR,Bharatiya Janata Party,95248,474,95722,38.2
146,146 - BISHNUPUR (West Bengal),24,24,2,ARGHYA NASKAR,Indian National Congress,3139,19,3158,1.26
146,146 - BISHNUPUR (West Bengal),24,24,3,DILIP MONDAL,All India Trinamool Congress,132051,596,132647,52.93
146,146 - BISHNUPUR (West Bengal),24,24,4,RABINDRANATH RANJAN,Bahujan Samaj Party,1177,1,1178,0.47
146,146 - BISHNUPUR (West Bengal),24,24,5,SHYAMAL DAL,Communist Party of India (Marxist),13272,66,13338,5.32
146,146 - BISHNUPUR (West Bengal),24,24,6,UTTAM NASKAR,Independent,483,10,493,0.2
146,146 - BISHNUPUR (West Bengal),24,24,7,PURNENDU NASKAR,Independent,1725,3,1728,0.69
146,146 - BISHNUPUR (West Bengal),24,24,8,HARAN MONDAL,Independent,657,3,660,0.26
146,146 - BISHNUPUR (West Bengal),24,24,9,NOTA,None of the Above,1663,5,1668,0.67
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,1,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,92355,833,93188,37.82
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,2,ASIMA MONDAL,Bahujan Samaj Party,840,6,846,0.34
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,3,RUPA GANGULY,Bharatiya Janata Party,126968,2002,128970,52.34
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,4,SUBRATA DUTTA,Indian National Congress,1346,22,1368,0.56
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,5,DILIP GAYEN,Mulnibasi Party of India,259,11,270,0.11
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,6,PARAMITA DASGUPTA,Communist Party of India,16509,275,16784,6.81
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,7,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),490,9,499,0.2
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,8,ATRASTA NATH,Independent,121,2,123,0.05
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,9,PROHALLAD NASKAR,Independent,164,4,168,0.07
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,10,PRADIP KUMAR MANDAL,Independent,141,1,142,0.06
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,11,RATHIN SARKAR,Independent,208,2,210,0.09
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,12,RAJANYA HALDAR(SARA),Independent,508,4,512,0.21
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,13,RUPA MONDAL,Independent,662,3,665,0.27
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,14,RUMPA GANGULY,Independent,696,2,698,0.28
147,147 - SONARPUR DAKSHIN (West Bengal),21,21,15,NOTA,None of the Above,1907,43,1950,0.79
148,148 - BHANGAR (West Bengal),18,18,1,JAYANTA GAYEN,Bharatiya Janata Party,30041,136,30177,11.29
148,148 - BHANGAR (West Bengal),18,18,2,MAHABUBUL ISLAM,Indian National Congress,594,4,598,0.22
148,148 - BHANGAR (West Bengal),18,18,3,SUJATA RANJAN,Bahujan Samaj Party,625,5,630,0.24
148,148 - BHANGAR (West Bengal),18,18,4,SAOKAT MOLLA,All India Trinamool Congress,94054,413,94467,35.33
148,148 - BHANGAR (West Bengal),18,18,5,MD NAWSAD SIDDIQUE,All India Secular Front,126298,257,126555,47.33
148,148 - BHANGAR (West Bengal),18,18,6,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),562,1,563,0.21
148,148 - BHANGAR (West Bengal),18,18,7,SIMA BHATTACHARYYA,Aam Janata Unnayan party,193,1,194,0.07
148,148 - BHANGAR (West Bengal),18,18,8,AKIYABUL MIDDYA,Independent,292,2,294,0.11
148,148 - BHANGAR (West Bengal),18,18,9,IKBAL MOLLA,Independent,290,0,290,0.11
148,148 - BHANGAR (West Bengal),18,18,10,KAMALUDDIN MOLLA,Independent,414,1,415,0.16
148,148 - BHANGAR (West Bengal),18,18,11,KARIMUL MOLLA,Independent,603,0,603,0.23
148,148 - BHANGAR (West Bengal),18,18,12,NAOSAN MOLLA,Independent,5967,1,5968,2.23
148,148 - BHANGAR (West Bengal),18,18,13,MAFIJUL ALI BISWAS,Independent,2127,1,2128,0.8
148,148 - BHANGAR (West Bengal),18,18,14,MASADUL MOLLA,Independent,925,1,926,0.35
148,148 - BHANGAR (West Bengal),18,18,15,MIRJA HASAN,Independent,508,2,510,0.19
148,148 - BHANGAR (West Bengal),18,18,16,MD  MIR SAMSUDDIN,Independent,618,0,618,0.23
148,148 - BHANGAR (West Bengal),18,18,17,MD MOMTAJUR RAHAMAN MOLLA,Independent,422,0,422,0.16
148,148 - BHANGAR (West Bengal),18,18,18,MD RABIUL ISLAM GAZI,Independent,230,2,232,0.09
148,148 - BHANGAR (West Bengal),18,18,19,RAJIB AHAMED,Independent,208,1,209,0.08
148,148 - BHANGAR (West Bengal),18,18,20,NOTA,None of the Above,1585,10,1595,0.6
149,149 - KASBA (West Bengal),23,23,1,AHMED JAVED KHAN,All India Trinamool Congress,117437,456,117893,48.88
149,149 - KASBA (West Bengal),23,23,2,BANERJEE SANDIP,Bharatiya Janata Party,96337,582,96919,40.18
149,149 - KASBA (West Bengal),23,23,3,DIPU DAS,Communist Party of India (Marxist),19814,228,20042,8.31
149,149 - KASBA (West Bengal),23,23,4,MD. HASIM ZESHAN AHMAD,Indian National Congress,1996,23,2019,0.84
149,149 - KASBA (West Bengal),23,23,5,SANJIB BISWAS,Bahujan Samaj Party,217,3,220,0.09
149,149 - KASBA (West Bengal),23,23,6,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),403,5,408,0.17
149,149 - KASBA (West Bengal),23,23,7,CHANDAN DEY,Independent,208,1,209,0.09
149,149 - KASBA (West Bengal),23,23,8,DEBASISH GHOSH DASTIDAR,Independent,401,2,403,0.17
149,149 - KASBA (West Bengal),23,23,9,IQBAL HOSSAIN,Independent,122,4,126,0.05
